I,Window Size,Processing Time (s),Events/s,CPU (%),Memory (MB), Total Events,Cumulative Total Events
130,26,0.002527952194213867,10285.004621333585,8.3,198.78125,,3760,3786
131,17,0.001689910888671875,10059.702031602708,8.35,198.78125,,3786,3803
132,39,0.003863811492919922,10093.660125879303,8.325,198.78125,,3803,3842
133,23,0.002351045608520508,9782.88124936619,8.4875,198.78125,,3842,3865
134,43,0.005169868469238281,8317.426305109759,8.8875,198.78125,,3865,3908
135,21,0.0020978450775146484,10010.272076372315,8.4375,198.78125,,3908,3929
136,22,0.0025751590728759766,8543.161559114897,8.8625,198.78125,,3929,3951
137,23,0.002846956253051758,8078.803450297295,9.025,198.78125,,3951,3974
138,37,0.0041048526763916016,9013.721786606262,8.775,198.78125,,3974,4011
139,23,0.004277944564819336,5376.413754667558,10.275,198.78125,,4011,4034
140,20,0.0021638870239257812,9242.626707800793,8.6,198.78125,,4034,4054
141,14,0.0015840530395507812,8838.08789885611,8.8625,198.78125,,4054,4068
142,38,0.0037720203399658203,10074.176853549081,8.35,198.78125,,4068,4106
143,20,0.0020351409912109375,9827.328959700093,8.5,198.78125,,4106,4126
144,29,0.002920866012573242,9928.562239817158,8.375,198.78125,,4126,4155
145,31,0.003717184066772461,8339.64620614457,8.925,198.78125,,4155,4186
146,28,0.003088235855102539,9066.66501968656,8.6375,198.78125,,4186,4214
147,15,0.0015256404876708984,9831.936240037507,8.475,198.78125,,4214,4229
148,38,0.003885030746459961,9781.132371893218,8.425,198.78125,,4229,4267
149,18,0.001802682876586914,9985.117312524799,8.3875,198.78125,,4267,4285
150,22,0.0022058486938476562,9973.485516645049,8.4,198.78125,,4285,4307
151,21,0.0021669864654541016,9690.87732423809,8.5875,198.78125,,4307,4328
152,31,0.0032351016998291016,9582.388090500406,8.4875,198.78125,,4328,4359
153,28,0.002758026123046875,10152.188105117566,8.3625,198.78125,,4359,4387
154,24,0.0023581981658935547,10177.261753108887,8.35,198.78125,,4387,4411
155,22,0.002234935760498047,9843.683379560487,8.4875,198.78125,,4411,4433
156,14,0.001461029052734375,9582.28720626632,8.4625,198.78125,,4433,4447
157,18,0.001953601837158203,9213.750549182329,8.7125,198.78125,,4447,4465
158,21,0.0023910999298095703,8782.56895004487,8.6,198.78125,,4465,4486
159,19,0.0018460750579833984,10292.105902105128,8.3125,198.78125,,4486,4505
160,28,0.0028090476989746094,9967.790867424885,8.45,198.78125,,4505,4533
161,45,0.004659891128540039,9656.87797390637,8.45,198.78125,,4533,4578
162,30,0.0030510425567626953,9832.704540126591,8.4375,198.78125,,4578,4608
163,29,0.0029249191284179688,9914.804043038801,8.425,198.78125,,4608,4637
164,21,0.0024290084838867188,8645.502944640753,8.775,198.78125,,4637,4658
165,27,0.0027272701263427734,9900.009441384736,8.4625,198.78125,,4658,4685
166,29,0.002878904342651367,10073.2766873706,8.4,198.78125,,4685,4714
167,21,0.002129077911376953,9863.424860022396,8.25,198.78125,,4714,4735
168,89,0.009898900985717773,8990.897083263084,8.775,198.78125,,4735,4824
169,63,0.0068149566650390625,9244.372795969774,8.6625,198.78125,,4824,4887
170,57,0.005896091461181641,9667.421269712899,8.55,199.28125,,4887,4944
171,26,0.002792835235595703,9309.535939900974,8.6,199.28125,,4944,4970
172,12,0.0012180805206298828,9851.565472695243,8.4,199.28125,,4970,4982
173,19,0.0018618106842041016,10205.119221411192,8.325,199.28125,,4982,5001
174,19,0.0019121170043945312,9936.630423940149,8.35,199.28125,,5001,5020
175,20,0.002039194107055664,9807.796094937448,8.475,199.28125,,5020,5040
176,31,0.003086090087890625,10045.072929542644,8.3,199.28125,,5040,5071
177,24,0.002348184585571289,10220.661590009138,8.3625,199.28125,,5071,5095
178,43,0.004392862319946289,9788.606350067843,8.3625,199.28125,,5095,5138
179,21,0.002115011215209961,9929.025363544133,8.3375,199.28125,,5138,5159
180,20,0.00197601318359375,10121.389961389961,8.375,199.28125,,5159,5179
181,15,0.0014767646789550781,10157.339360671618,8.35,199.28125,,5179,5194
182,45,0.004862070083618164,9255.317020546267,8.65,199.28125,,5194,5239
183,35,0.0034770965576171875,10065.869445968185,8.3375,199.28125,,5239,5274
184,23,0.002404928207397461,9563.695053038564,8.6125,199.28125,,5274,5297
185,25,0.002543210983276367,9830.0928095997,8.5125,199.28125,,5297,5322
186,35,0.00350189208984375,9994.596949891067,8.375,199.28125,,5322,5357
187,25,1.3266379833221436,18.844628537919167,0.2375,207.84375,,5357,5382
188,24,0.004824161529541016,4974.957793812395,10.2875,207.84375,,5382,5406
189,17,0.002986907958984375,5691.504469987229,10.025,207.84375,,5406,5423
190,24,0.004158973693847656,5770.654437055721,10.0125,207.84375,,5423,5447
191,20,0.0033447742462158203,5979.476798061159,9.95,207.84375,,5447,5467
192,29,0.0046041011810302734,6298.732121588731,9.675,207.84375,,5467,5496
193,25,0.003547191619873047,7047.8290092754405,9.5625,207.84375,,5496,5521
194,26,0.003654003143310547,7115.483753099308,9.475,207.84375,,5521,5547
195,23,0.003247976303100586,7081.332452470087,9.3375,207.84375,,5547,5570
196,20,0.002601146697998047,7688.916590284143,9.2875,207.84375,,5570,5590
197,24,0.003116130828857422,7701.858913542464,9.2625,207.84375,,5590,5614
198,27,0.003309965133666992,8157.185622704026,9.1375,207.84375,,5614,5641
199,25,0.0030939579010009766,8080.265084380057,9.0875,207.84375,,5641,5666
200,20,0.0023801326751708984,8402.892917960533,9.025,207.84375,,5666,5686
201,21,0.0024940967559814453,8419.881846859766,8.95,207.84375,,5686,5707
202,31,0.0036399364471435547,8516.632213270452,8.9375,207.84375,,5707,5738
203,85,0.010526895523071289,8074.555296355854,9.05,207.84375,,5738,5823
204,15,0.0016138553619384766,9294.51322204166,8.65,207.84375,,5823,5838
205,26,0.0027971267700195312,9295.25264234572,8.6125,207.84375,,5838,5864
206,26,0.0027761459350585938,9365.50188938509,8.65,207.84375,,5864,5890
207,16,0.0016739368438720703,9558.305654465175,8.5625,207.84375,,5890,5906
208,17,0.001814126968383789,9370.898672624524,8.5625,207.84375,,5906,5923
209,25,0.0026149749755859375,9560.320933625091,8.5125,207.84375,,5923,5948
210,14,0.0014462471008300781,9680.226838114078,8.4125,207.84375,,5948,5962
211,14,0.0014238357543945312,9832.594775619558,8.425,207.84375,,5962,5976
212,21,0.0021140575408935547,9933.504454719747,8.475,207.84375,,5976,5997
213,19,0.001934051513671875,9823.93688362919,8.4875,207.84375,,5997,6016
214,22,0.002203226089477539,9985.357428849691,8.4125,207.84375,,6016,6038
215,36,0.0036351680755615234,9903.255984783891,8.4125,207.84375,,6038,6074
216,18,0.0017900466918945312,10055.603622802344,8.4125,207.84375,,6074,6092
217,21,0.0021369457244873047,9827.109673100524,8.475,207.84375,,6092,6113
218,6,0.0006530284881591797,9187.96056955093,8.8125,207.84375,,6113,6119
219,26,0.0026819705963134766,9694.364299048804,8.3125,207.84375,,6119,6145
220,26,0.0026922225952148438,9657.448104852992,8.7875,207.84375,,6145,6171
221,19,0.0018811225891113281,10100.351837769329,8.35,207.84375,,6171,6190
222,30,0.003010988235473633,9963.506215852403,8.3625,207.84375,,6190,6220
223,33,0.0036830902099609375,8959.867426204039,9.2375,207.828125,,6220,6253
224,23,0.002310037612915039,9956.547837754155,8.3875,207.828125,,6253,6276
225,30,0.0030989646911621094,9680.652408062779,8.4875,207.828125,,6276,6306
226,38,0.003865957260131836,9829.38957755165,8.4875,207.828125,,6306,6344
227,23,0.002321958541870117,9905.430947735907,8.325,207.828125,,6344,6367
