I,Window Size,Processing Time (s),Events/s,CPU (%), Memory (MB),CPU (%)
69,100,0.008064985275268555,12399.278682709079,7.4,239.46875,
70,100,0.008166790008544922,12244.713026215917,7.4375,239.46875,
71,100,0.008392095565795898,11915.974885650161,7.5625,239.46875,
72,100,0.008280754089355469,12076.19486352643,7.525,239.46875,
73,100,0.008108854293823242,12332.19840639793,7.4375,239.46875,
74,100,0.008090019226074219,12360.910055404927,7.425,239.46875,
75,100,0.008494138717651367,11772.823981811547,7.5875,239.46875,
76,100,0.008278846740722656,12078.977076373689,7.5125,239.46875,
77,100,0.008076906204223633,12380.978244826874,7.4,239.46875,
78,100,0.008003950119018555,12493.830985076405,7.3375,239.46875,
79,100,0.008122682571411133,12311.20373359946,7.45,239.46875,
80,100,0.008503913879394531,11759.291241448918,7.6375,239.46875,
81,100,2.1694278717041016,46.09510244811655,8.625,242.625,
82,100,1.0210118293762207,97.94205818466787,12.45,242.625,
83,100,0.7174279689788818,139.38681557443377,12.425,241.625,
84,100,0.449923038482666,222.2602344108517,12.4125,240.640625,
85,100,0.21464300155639648,465.8898695736206,12.3,239.65625,
86,100,0.8177371025085449,122.2886911859977,12.4375,244.203125,
87,100,1.1679637432098389,85.61909612465922,12.45,244.203125,
88,100,0.905555009841919,110.4295144007395,12.4375,242.203125,
89,100,0.5796449184417725,172.51941114022787,12.425,242.203125,
90,100,0.3649280071258545,274.026651962376,12.3625,241.203125,
91,100,0.12865114212036133,777.2958587996338,12.2125,240.203125,
92,100,1.3867909908294678,72.10891955693192,12.4625,243.453125,
93,100,1.0411508083343506,96.04756505926511,12.45,243.453125,
94,100,0.7461822032928467,134.01552537531373,12.4375,242.46875,
95,100,0.5321779251098633,187.90708009798774,12.4375,241.484375,
96,100,0.1990368366241455,502.41956060041616,12.3,239.9375,
97,100,0.04725909233093262,2115.9949348952423,11.8,238.9375,
98,100,0.008183956146240234,12219.02930723067,7.4375,238.9375,
99,100,0.008199214935302734,12196.289619075313,7.45,238.9375,
100,100,0.008538007736206055,11712.334198989138,7.6625,238.9375,
101,100,0.009613752365112305,10401.765741636287,6.75,238.9375,
102,100,0.00864410400390625,11568.578993821713,7.65,238.9375,
103,100,0.009244918823242188,10816.752630493089,7.9,238.9375,
104,100,0.008875131607055664,11267.438549361988,7.7875,238.9375,
105,100,0.008897066116333008,11239.660208484069,7.9,238.9375,
106,100,0.009083032608032227,11009.538808830092,7.85,238.9375,
107,100,0.009405851364135742,10631.679805328129,7.975,238.9375,
108,100,0.011003255844116211,9088.219106844923,8.6875,238.9375,
109,100,0.008157968521118164,12257.95364877108,7.4125,238.9375,
110,100,0.008288860321044922,12064.384743715123,7.475,238.9375,
