I,Window Size,Processing Time (s),Events/s,CPU (%),Memory (MB), Total Events,Cumulative Total Events
89,5,0.0005018711090087891,9962.717339667459,8.375,195.0625,,1222,1227
90,12,0.0011780261993408203,10186.530661809351,8.3625,195.0625,,1227,1239
91,13,0.0012679100036621094,10253.093644227152,8.225,195.0625,,1239,1252
92,3,0.00029778480529785156,10074.38911128903,8.5375,195.0625,,1252,1255
93,5,0.0004918575286865234,10165.545322346097,8.375,195.0625,,1255,1260
94,5,0.00049591064453125,10082.461538461539,8.375,195.0625,,1260,1265
95,22,0.0018720626831054688,11751.743250127356,7.6375,195.0625,,1265,1287
96,7,0.0005729198455810547,12218.114024136496,7.7,195.0625,,1287,1294
97,13,0.0010411739349365234,12485.906114037096,7.425,195.0625,,1294,1307
98,15,0.0012249946594238281,12244.951342934994,7.3875,195.0625,,1307,1322
99,10,0.0008511543273925781,11748.750700280112,7.7375,195.0625,,1322,1332
100,13,0.002882719039916992,4509.631296005293,10.6125,196.328125,,1332,1345
101,12,0.0009799003601074219,12246.14306569343,7.5875,196.328125,,1345,1357
102,14,0.0011548995971679688,12122.265895953757,7.5,196.328125,,1357,1371
103,9,0.0007839202880859375,11480.759124087592,7.7625,196.328125,,1371,1380
104,11,0.0008981227874755859,12247.768516060525,7.5,196.328125,,1380,1391
105,9,0.0007250308990478516,12413.264057875698,7.5,196.328125,,1391,1400
106,13,0.0011639595031738281,11168.773453502663,7.75,196.328125,,1400,1413
107,8,0.0007827281951904297,10220.661590009138,8.2625,196.328125,,1413,1421
108,16,0.0015480518341064453,10335.571230555983,8.2125,196.328125,,1421,1437
109,14,0.001348257064819336,10383.776480990275,8.1625,196.328125,,1437,1451
110,8,0.0007841587066650391,10202.016418364245,8.3375,196.328125,,1451,1459
111,15,0.0014390945434570312,10423.220675944334,8.2375,196.328125,,1459,1474
112,6,0.0005559921264648438,10791.519725557462,8.0375,196.328125,,1474,1480
113,11,0.0008921623229980469,12329.594869053983,7.425,196.328125,,1480,1491
114,9,0.000720977783203125,12483.047619047618,7.575,196.328125,,1491,1500
115,16,0.0013129711151123047,12186.102051933902,7.45,196.328125,,1500,1516
116,18,0.001583099365234375,11370.101204819277,7.8,196.34375,,1516,1534
117,21,0.0017490386962890625,12006.595419847328,7.4875,196.34375,,1534,1555
118,14,0.0011529922485351562,12142.319272125724,7.425,196.34375,,1555,1569
119,18,0.0015518665313720703,11598.935627592564,7.2625,196.34375,,1569,1587
120,9,0.0007312297821044922,12308.032605151613,7.55,196.34375,,1587,1596
121,39,0.003287792205810547,11862.063524292966,7.5625,196.40625,,1596,1635
122,14,0.0011241436004638672,12453.924920466596,7.4625,196.40625,,1635,1649
123,18,0.0014400482177734375,12499.581456953643,7.525,196.40625,,1649,1667
124,25,0.0020279884338378906,12327.486480131673,7.3875,196.40625,,1667,1692
125,23,0.0018422603607177734,12484.663129286915,7.425,196.40625,,1692,1715
126,23,0.0018820762634277344,12220.546237648847,7.4875,196.40625,,1715,1738
127,23,0.0018489360809326172,12439.586331399098,7.45,196.40625,,1738,1761
128,11,0.0009229183197021484,11918.714544045466,7.6375,196.40625,,1761,1772
129,13,0.0010938644409179688,11884.47079337402,7.3875,196.40625,,1772,1785
130,21,0.0017321109771728516,12123.93448038541,7.4875,196.40625,,1785,1806
131,15,0.0012238025665283203,12256.87901811806,7.4375,196.40625,,1806,1821
132,16,0.0013070106506347656,12241.675300985042,7.5375,196.40625,,1821,1837
133,12,0.0010161399841308594,11809.396527451901,7.6375,196.40625,,1837,1849
134,10,0.0009241104125976562,10821.217750257998,8.0375,196.40625,,1849,1859
135,31,0.0025882720947265625,11977.10243183493,7.5875,196.40625,,1859,1890
136,13,0.0010519027709960938,12358.556663644606,7.4125,196.40625,,1890,1903
137,14,0.0011470317840576172,12205.41592184577,7.5375,196.40625,,1903,1917
138,23,0.0018908977508544922,12163.534484932543,7.35,196.40625,,1917,1940
139,19,0.00168609619140625,11268.633484162896,7.8375,196.40625,,1940,1959
140,14,0.0013680458068847656,10233.575461833392,8.225,196.40625,,1959,1973
141,7,0.0006861686706542969,10201.573314801946,8.275,196.40625,,1973,1980
142,17,0.0016398429870605469,10366.846176214016,8.15,196.40625,,1980,1997
143,14,0.0013370513916015625,10470.801711840228,8.175,196.40625,,1997,2011
144,16,0.0018658638000488281,8575.116790186557,8.4875,196.40625,,2011,2027
145,13,0.0012850761413574219,10116.132096474954,8.2,196.40625,,2027,2040
146,13,0.0011529922485351562,11275.010752688173,7.85,196.40625,,2040,2053
147,12,0.0009632110595703125,12458.328712871287,7.4125,196.40625,,2053,2065
148,16,0.001300811767578125,12300.011730205279,7.4625,196.40625,,2065,2081
149,11,0.0009002685546875,12218.57627118644,7.4875,196.40625,,2081,2092
150,13,0.0010459423065185547,12428.983815819467,7.475,196.40625,,2092,2105
151,5,0.0004038810729980469,12379.881936245572,7.6625,196.40625,,2105,2110
152,13,0.0010631084442138672,12228.291545189504,7.3875,196.40625,,2110,2123
153,20,0.0016300678253173828,12269.428111744917,7.45,196.40625,,2123,2143
154,19,0.0016210079193115234,11721.102515075747,7.6125,196.40625,,2143,2162
155,86,0.007085084915161133,12138.174916714339,7.4375,196.5625,,2162,2248
156,10,0.0008668899536132812,11535.489548954896,7.3125,196.5625,,2248,2258
157,6,0.00048613548278808594,12342.2383521334,7.45,196.5625,,2258,2264
158,31,0.0026161670684814453,11849.396154196664,7.6,196.5625,,2264,2295
159,14,0.0011310577392578125,12377.79426644182,7.5125,196.5625,,2295,2309
