I,Window Size,Processing Time (s),Events/s,CPU (%), Memory (MB),CPU (%)
1,100,1.0619840621948242,94.1633717113682,0.0,193.9375,
2,100,0.011034011840820312,9062.886776145204,8.85,193.953125,
3,100,0.010102033615112305,9898.996955464823,8.45,193.953125,
4,100,0.009390830993652344,10648.684878643242,8.225,193.984375,
5,100,0.009260892868041992,10798.094894833046,8.1,194.0,
6,100,0.008871078491210938,11272.586540528919,7.7,194.0,
7,100,0.008452177047729492,11831.27133226143,7.575,194.0,
8,100,0.008913040161132812,11219.516370639845,7.775,194.0,
9,100,0.008770227432250977,11402.212858502107,7.6875,194.0,
10,100,0.00872492790222168,11461.41276130619,7.7125,194.0,
11,100,0.009719133377075195,10288.983196369434,8.2375,194.0,
12,100,0.008481025695800781,11791.026650174294,7.5875,194.0,
13,100,0.008560895919799805,11681.020413846882,7.6375,194.0,
14,100,0.010742902755737305,9308.471115648372,8.575,195.359375,
15,100,0.008624076843261719,11595.443989826384,7.6625,195.359375,
16,100,0.008046865463256836,12427.199194097953,7.3375,195.359375,
17,100,0.007963895797729492,12556.66856270395,7.325,195.359375,
18,100,0.009380102157592773,10660.864702742547,8.0,195.359375,
19,100,0.009591817855834961,10425.552434689667,8.1125,195.359375,
20,100,0.009577274322509766,10441.384117500622,8.0875,195.359375,
21,100,0.009571075439453125,10448.146671980869,8.1375,195.359375,
22,100,0.008869171142578125,11275.010752688173,7.7875,195.359375,
23,100,0.009185075759887695,10887.226476314081,7.925,195.359375,
24,100,0.009580850601196289,10437.486624362324,8.0875,195.359375,
25,100,0.008404016494750977,11899.072314108202,7.525,195.359375,
26,100,0.008614778518676758,11607.95948302106,7.6625,195.359375,
27,100,1.3914060592651367,71.86974595526372,9.9625,211.015625,
28,100,0.17805004119873047,561.6398588101704,12.05,211.578125,
29,100,0.14749813079833984,677.9746933655755,12.0375,211.65625,
30,100,0.17276382446289062,578.8248802137384,12.1375,212.234375,
31,100,0.14151501655578613,706.6387895349562,11.8875,213.265625,
32,100,0.13030505180358887,767.4299546784401,11.7875,213.984375,
33,100,0.12416911125183105,805.3532717745481,11.875,214.0,
34,100,0.1210169792175293,826.3303269225465,12.0125,214.0,
