I,Window Size,Processing Time (s),Events/s,CPU (%),Memory (MB), Total Events,Cumulative Total Events
1,20,1.042494297027588,19.18475722795319,0.0,194.046875,,0,20
2,20,0.0025930404663085938,7712.953291651343,9.4375,194.109375,,20,40
3,20,0.0022809505462646484,8768.274276157625,9.0625,194.140625,,40,60
4,20,0.0022699832916259766,8810.637538073732,8.9875,194.171875,,60,80
5,20,0.0024361610412597656,8209.637893912703,8.7625,194.1875,,80,100
6,20,0.0023479461669921875,8518.08285946385,8.4875,194.203125,,100,120
7,20,0.0027170181274414062,7361.010881010881,8.5625,194.21875,,120,140
8,20,0.002229928970336914,8968.895541537475,8.6875,194.21875,,140,160
9,20,0.002164125442504883,9241.608460945246,8.55,194.21875,,160,180
10,20,0.002052783966064453,9742.86643437863,8.525,194.21875,,180,200
11,20,0.0022487640380859375,8893.774385072094,8.45,194.21875,,200,220
12,20,0.0021190643310546875,9438.127812781278,8.5,194.21875,,220,240
13,20,0.002228975296020508,8972.732912610974,8.3375,194.21875,,240,260
14,20,0.0023190975189208984,8624.044412460162,8.2875,194.21875,,260,280
15,20,0.0020232200622558594,9885.232147065755,8.3,194.21875,,280,300
16,20,0.001968860626220703,10158.159360620004,8.175,194.21875,,300,320
17,20,0.001920938491821289,10411.577510239544,8.0375,194.21875,,320,340
18,20,0.0018858909606933594,10605.067003792668,8.025,194.234375,,340,360
19,20,0.001834869384765625,10899.95841995842,7.95,194.234375,,360,380
20,20,0.001867055892944336,10712.052100625719,8.0375,194.234375,,380,400
21,20,0.001912832260131836,10455.69986289418,7.9875,194.234375,,400,420
22,20,0.0018439292907714844,10846.402896302043,7.9,194.234375,,420,440
23,20,0.002113819122314453,9461.547484773291,8.0625,194.234375,,440,460
24,20,0.0018041133880615234,11085.777719043213,7.925,194.234375,,460,480
25,20,0.0017800331115722656,11235.746048754352,7.875,194.234375,,480,500
26,20,0.001798868179321289,11118.102054340623,7.875,194.234375,,500,520
27,20,0.0018739700317382812,10672.529262086515,8.8875,194.234375,,520,540
28,20,0.0019118785858154297,10460.915326100512,8.05,194.234375,,540,560
29,20,0.0019440650939941406,10287.721363747854,8.25,194.25,,560,580
30,20,0.002045154571533203,9779.211937514572,8.4375,194.25,,580,600
31,20,0.0020868778228759766,9583.694733234319,8.35,194.25,,600,620
32,20,0.0021288394927978516,9394.790010079516,8.3125,194.25,,620,640
33,20,0.0018079280853271484,11062.386918106291,7.9875,194.25,,640,660
34,20,0.0017769336700439453,11255.344156715417,7.9375,194.25,,660,680
35,20,0.0020580291748046875,9718.035217794253,8.4625,194.25,,680,700
36,20,0.0020720958709716797,9652.063053733747,8.275,194.25,,700,720
37,20,0.0020151138305664062,9924.997633696166,8.275,194.25,,720,740
38,20,0.001722097396850586,11613.744981309705,7.725,194.25,,740,760
39,20,0.0018219947814941406,10976.979848207275,7.9875,194.25,,760,780
40,20,0.0020668506622314453,9676.557849809667,8.425,194.25,,780,800
41,20,0.0019330978393554688,10346.087814504193,8.1375,194.25,,800,820
42,20,0.0018770694732666016,10654.906642956941,8.125,194.25,,820,840
43,20,0.0018868446350097656,10599.706848622694,8.1125,194.25,,840,860
44,20,0.0017118453979492188,11683.298050139276,7.775,194.25,,860,880
45,20,0.0017588138580322266,11371.299986444354,7.9,194.265625,,880,900
46,20,0.0020759105682373047,9634.326404042724,8.3875,194.265625,,900,920
