I,Window Size,Processing Time (s),Events/s,CPU (%), Memory (MB),CPU (%)
1,100,1.053797721862793,94.89487206636821,0.0,192.28125,
2,100,0.011278152465820312,8866.700490444782,8.7375,192.28125,
3,100,0.010195016860961914,9808.713547391315,8.3375,192.28125,
4,100,0.009512901306152344,10512.040100250626,8.1,192.28125,
5,100,0.009032964706420898,11070.562462058226,7.875,192.296875,
6,100,0.008983135223388672,11131.970911407187,7.95,192.296875,
7,100,0.008399248123168945,11905.827585228079,7.5375,192.296875,
8,100,0.00864720344543457,11564.432435413162,7.6125,192.296875,
9,100,0.008376121520996094,11938.699760901742,7.4875,192.296875,
10,100,0.007965803146362305,12553.661967615457,7.3,192.296875,
11,100,0.008568048477172852,11671.269165484042,7.725,192.296875,
12,100,0.008228302001953125,12153.175707000464,7.4125,192.296875,
13,100,0.008575916290283203,11660.56157909369,7.65,192.421875,
14,100,0.010691165924072266,9353.51679229294,8.6,193.8125,
15,100,0.008318901062011719,12020.818525736559,7.4875,193.8125,
16,100,0.008231878280639648,12147.89584962493,7.4375,193.8125,
17,100,0.007986783981323242,12520.684199528345,7.3,193.8125,
18,100,0.008116006851196289,12321.330160688582,7.3875,193.8125,
19,100,0.007958650588989258,12564.944129894251,7.3375,193.8125,
20,100,0.00797724723815918,12535.652589736692,7.325,193.8125,
21,100,0.008434295654296875,11856.35459068295,7.4875,193.8125,
22,100,0.007980108261108398,12531.158316154282,7.35,193.8125,
23,100,0.008046865463256836,12427.199194097953,7.3,193.8125,
24,100,0.008121967315673828,12312.287911700816,7.4125,193.8125,
25,100,0.008013725280761719,12478.590979412114,7.3625,193.8125,
26,100,0.00802302360534668,12464.128852040058,7.35,193.8125,
27,100,1.3964219093322754,71.61159484229005,0.2875,200.84375,
28,100,0.015292167663574219,6539.295291549735,9.525,200.84375,
29,100,0.011968851089477539,8355.0208163184,8.85,200.84375,
30,100,0.010814905166625977,9246.49809307555,8.6,200.84375,
31,100,0.009673118591308594,10337.927634822045,8.1875,200.84375,
32,100,0.009253978729248047,10806.162724790025,8.0,200.84375,
33,100,0.009121179580688477,10963.494262487911,7.825,200.84375,
34,100,0.008654117584228516,11555.193123588077,7.7125,200.84375,
35,100,0.008315086364746094,12026.33329510265,7.5375,200.84375,
36,100,0.009469032287597656,10560.741262967065,8.0375,200.84375,
37,100,0.00879216194152832,11373.766846543916,7.8375,200.84375,
38,100,0.008165836334228516,12246.14306569343,7.4375,200.84375,
39,100,0.008185148239135742,12217.249716000117,7.4,200.84375,
40,100,0.008075952529907227,12382.440291677738,7.3875,200.84375,
41,100,0.010377883911132812,9635.875758132695,8.5625,201.921875,
42,100,0.008281707763671875,12074.804237678489,7.4875,201.921875,
43,100,0.008297920227050781,12051.21250430985,7.4875,201.921875,
44,100,0.008616209030151367,11606.032264312793,7.675,201.921875,
45,100,0.008040904998779297,12436.411077506968,7.375,201.921875,
46,100,0.008157014846801758,12259.38678280186,7.4375,201.921875,
47,100,0.008069038391113281,12393.05046684789,7.3875,201.921875,
48,100,0.008324861526489258,12012.211816593637,7.5375,201.921875,
49,100,0.008102893829345703,12341.269934678985,7.3875,201.921875,
